timestamp_llegada,timestamp_salida,tiempo_respuesta,operacion,codigo
1763399617.410616,1763399720.2766476,102.86603164672852,devolucion,L0001
1763399720.2769883,1763399720.2894924,0.012504100799560547,prestamo,L0003
1763399720.2897453,1763399720.290198,0.0004527568817138672,renovacion,L0002
1763399720.290353,1763399720.2905257,0.00017261505126953125,renovacion,L0002
1763399720.2906444,1763399720.3115692,0.020924806594848633,prestamo,L0003
1763399720.3129106,1763399720.3180318,0.0051212310791015625,prestamo,L0014
1763399720.3181796,1763399720.3183763,0.00019669532775878906,renovacion,L0003
1763399720.3184392,1763399720.3212147,0.002775430679321289,devolucion,L0004
1763399720.3214316,1763399720.3352516,0.01381993293762207,renovacion,L0008
1763399720.3356032,1763399720.3357387,0.0001354217529296875,renovacion,L0005
1763399720.3361096,1763399720.351458,0.015348434448242188,prestamo,L0010
1763399720.3515544,1763399720.3576992,0.00614476203918457,devolucion,L0012
1763399720.3577998,1763399720.389687,0.03188729286193848,prestamo,L0005
1763399720.3897927,1763399720.3898702,7.748603820800781e-05,devolucion,L0001
1763399720.3899226,1763399720.4046223,0.014699697494506836,prestamo,L0016
