1763299860.8244338,1763300397.8960025,537.0715687274933,renovacion,L0005
1763300397.8966444,1763300397.9237604,0.027116060256958008,renovacion,L0001
1763300397.9238925,1763300397.9507878,0.02689528465270996,renovacion,L0002
1763300397.950912,1763300397.9932983,0.04238629341125488,devolucion,L0003
1763300397.993431,1763300398.0206175,0.02718639373779297,devolucion,L0008
1763300398.0207944,1763300398.0464692,0.025674819946289062,devolucion,L0004
1763300398.0466545,1763300398.0467312,7.677078247070312e-05,devolucion,L0005
1763300398.0468016,1763300398.0582106,0.01140904426574707,devolucion,L0006
1763300398.058328,1763300398.0841656,0.02583765983581543,prestamo,L0010
1763300398.0843961,1763300398.0953476,0.010951519012451172,prestamo,L0007
1763300398.0955875,1763300398.1051304,0.00954294204711914,prestamo,L0010
1763300398.1054165,1763300398.111261,0.0058443546295166016,devolucion,L0001
1763300398.1115365,1763300398.1225483,0.011011838912963867,renovacion,L0006
1763300398.1229703,1763300398.1497476,0.026777267456054688,prestamo,L0016
1763300398.1498594,1763300398.1499796,0.0001201629638671875,renovacion,L0003
1763300398.1500382,1763300398.1511178,0.001079559326171875,renovacion,L0010
1763300398.1512027,1763300398.1808786,0.029675960540771484,prestamo,L0009
1763300398.1810207,1763300398.1811278,0.00010704994201660156,renovacion,L0008
1763300398.1811771,1763300398.1839197,0.0027425289154052734,devolucion,L0002
1763300398.1840386,1763300398.2189708,0.03493213653564453,prestamo,L0005
1763300398.2191901,1763300398.2195911,0.0004010200500488281,renovacion,L0009
1763300398.2197053,1763300398.2567039,0.03699851036071777,prestamo,L0003
1763300398.2571409,1763300398.260248,0.0031070709228515625,prestamo,L0002
1763300398.2604446,1763300398.2863955,0.025950908660888672,renovacion,L0007
1763300398.2868574,1763300398.287459,0.0006015300750732422,devolucion,L0007
1763300398.2875526,1763300398.3217735,0.03422093391418457,devolucion,L0009
1763300398.3220544,1763300398.3302631,0.008208751678466797,prestamo,L0001
1763300398.3303697,1763300398.3543031,0.02393341064453125,prestamo,L0009
1763300398.3544424,1763300398.3676322,0.01318979263305664,prestamo,L0004
1763300398.3678808,1763300398.423717,0.05583620071411133,prestamo,L0008
