timestamp_llegada,timestamp_salida,tiempo_respuesta,operacion,codigo
1763299617.9225354,1763299624.071261,6.148725509643555,renovacion,L0002
1763299624.0714338,1763299624.148698,0.07726430892944336,renovacion,L0003
1763299624.1489913,1763299624.1740203,0.02502894401550293,devolucion,L0017
1763299624.175044,1763299624.1804712,0.005427122116088867,prestamo,L0010
1763299624.1808445,1763299624.2042103,0.02336573600769043,renovacion,L0009
1763299624.2044454,1763299624.207797,0.0033516883850097656,devolucion,L0001
1763299624.2079077,1763299624.2169254,0.009017705917358398,devolucion,L0001
1763299624.2174397,1763299624.2323086,0.014868974685668945,prestamo,L0018
1763299624.232417,1763299624.2927685,0.06035137176513672,prestamo,L0016
1763299624.2929122,1763299624.2932913,0.0003790855407714844,renovacion,L0010
1763299624.2934322,1763299624.293594,0.00016164779663085938,renovacion,L0002
1763299624.293733,1763299624.3208253,0.027092456817626953,renovacion,L0011
1763299624.3210125,1763299624.322846,0.0018334388732910156,prestamo,L0003
1763299624.3229988,1763299624.3500144,0.02701568603515625,devolucion,L0004
1763299624.350518,1763299624.3777933,0.02727532386779785,renovacion,L0005
1763299624.377944,1763299723.662125,99.28418111801147,renovacion,L0002
1763299723.6623633,1763299723.7022858,0.039922475814819336,renovacion,L0003
1763299723.702843,1763299723.7201607,0.017317771911621094,devolucion,L0017
1763299723.7202904,1763299723.72034,4.9591064453125e-05,devolucion,L0001
1763299723.7203844,1763299723.7560396,0.03565526008605957,prestamo,L0010
1763299723.7565694,1763299723.7570248,0.0004553794860839844,renovacion,L0009
1763299723.7572749,1763299723.7576115,0.00033664703369140625,renovacion,L0002
1763299723.7582166,1763299723.784709,0.02649235725402832,devolucion,L0001
1763299723.7848687,1763299723.788728,0.003859281539916992,prestamo,L0018
1763299723.7888453,1763299723.791338,0.002492666244506836,prestamo,L0003
1763299723.7917564,1763299723.8228803,0.031123876571655273,prestamo,L0016
1763299723.8230102,1763299723.8230908,8.058547973632812e-05,devolucion,L0004
1763299723.8231432,1763299723.8232248,8.153915405273438e-05,renovacion,L0010
1763299723.823265,1763299723.8553097,0.03204464912414551,renovacion,L0005
1763299723.855556,1763299723.8557646,0.0002086162567138672,renovacion,L0011
